Main Author, Norwood
Title, Giant Planet Observations with the James Webb Space Telescope.
Year, 2015
URL, https://www.researchgate.net/publication/283117690_Giant_Planet_Observations_with_the_James_Webb_Space_Telescope
Position, Figure 2
2.41390e+0, 2.43594e-2
2.43269e+0, 5.07803e-2
2.45153e+0, 1.22109e-1
2.47030e+0, 2.39440e-1
2.48421e+0, 2.16234e-1
2.49364e+0, 3.52860e-1
2.49838e+0, 4.79208e-1
2.50771e+0, 5.52803e-1
2.51697e+0, 4.89132e-1
2.52620e+0, 3.98877e-1
2.54023e+0, 5.52894e-1
2.55400e+0, 3.05992e-1
2.55380e+0, 1.52913e-1
2.55825e+0, 7.79918e-2
2.57202e+0, 4.40533e-2
2.57649e+0, 2.38872e-2
2.58605e+0, 1.09185e-2
2.62326e+0, 8.67626e-1
2.67907e+0, 6.11919e+0
2.69302e+0, 5.64040e+0
2.71163e+0, 6.50335e+0
2.76279e+0, 5.09288e+0
2.79535e+0, 2.88016e+0
2.82791e+0, 1.17613e+0
2.84651e+0, 7.82794e-1
2.89767e+0, 4.90062e-1
2.93953e+0, 3.39678e-1
2.96744e+0, 2.35459e-1
3.00930e+0, 3.13011e-1
3.04186e+0, 2.82681e-1
3.09302e+0, 3.12878e-1
3.13488e+0, 2.60458e-1
3.15349e+0, 1.69860e-1
3.16744e+0, 4.17072e-2
3.18140e+0, 1.66899e-2
3.19070e+0, 3.69087e-2
3.20465e+0, 7.54578e-3
3.22326e+0, 1.45129e-3
3.22972e+0, 1.44664e-3
3.27083e+0, 5.02018e-3
3.29517e+0, 2.54981e-3
3.32180e+0, 1.52790e-2
3.34055e+0, 4.11962e-3
3.38089e+0, 6.23429e-3
3.42056e+0, 4.58895e-3
3.43501e+0, 2.60015e-3
3.46546e+0, 4.38959e-3
3.50027e+0, 3.76514e-3
3.54574e+0, 6.63850e-3
3.59511e+0, 3.59862e-3
3.69799e+0, 9.10328e-2
3.78572e+0, 8.97747e-3
3.83584e+0, 1.09185e-2
3.86550e+0, 7.86458e-3
3.96334e+0, 1.90460e-1
4.09428e+0, 6.18112e-1
4.21307e+0, 1.98151e-1
4.26832e+0, 2.80780e-1
4.30807e+0, 2.25544e-1
4.34853e+0, 3.89109e-1
4.39812e+0, 2.68208e-1
4.46880e+0, 6.14332e-1
4.50902e+0, 8.15498e-1
4.55004e+0, 2.59323e+0
4.70113e+0, 1.02406e+1
4.75105e+0, 1.00112e+1
4.83620e+0, 1.32797e+1
5.00581e+0, 1.08797e+1
5.08597e+0, 1.44328e+1
